MCS Area Volume r h theta_rad theta_deg
486 3051 9762 31.1635 6.31286 0.399736 22.9032
487 3042 9738 31.1175 6.31565 0.400483 22.946
488 3033 9734 31.0714 6.33111 0.402016 23.0338
489 3051 9736 31.1635 6.29649 0.398726 22.8453
490 3042 9734 31.1175 6.31312 0.400327 22.937
491 3042 9743 31.1175 6.3188 0.400677 22.9571
492 3042 9761 31.1175 6.33017 0.401379 22.9973
493 3015 9755 30.9791 6.38075 0.406258 23.2768
494 3003 9775 30.9174 6.41797 0.409355 23.4543
495 2997 9766 30.8865 6.42453 0.410161 23.5005
496 2997 9763 30.8865 6.42261 0.410041 23.4936
497 3000 9766 30.9019 6.41837 0.409579 23.4672
